"TIME","SAIDA","STEP"
0.2432948999,0.0203328,1
0.2436117943,0.0209021,1
0.2439166975,0.021448,1
0.2439269147,0.0214663,1
0.2439576262,0.0215215,1
0.2440804724,0.0217424,1
0.2442442672,0.0220397,1
0.2445718569,0.0226433,1
0.2452270363,0.023886,1
0.245324997,0.0240759,1
0.2453349001,0.0240951,1
0.2456518016,0.02471,1
0.2459566875,0.0252997,1
0.2459669145,0.0253195,1
0.2459771514,0.0253393,1
0.2461204687,0.0256175,1
0.24628426,0.0259382,1
0.2466118424,0.0265885,1
0.2472670073,0.0279242,1
0.2473648372,0.0281277,1
0.2473749004,0.0281487,1
0.2476918088,0.0288083,1
0.2480069142,0.0294621,1
0.2481604652,0.0297817,1
0.2486518282,0.0308214,1
0.2493069789,0.0322482,1
0.2494047574,0.0324652,1
0.2494149006,0.0324877,1
0.2495682466,0.032828,1
0.2497318158,0.0331911,1
0.2500417958,0.033877,1
0.250046914,0.0338883,1
0.2502004617,0.034229,1
0.2506918143,0.0353361,1
0.2514447175,0.0370825,1
0.2514497892,0.0370942,1
0.2515264638,0.0372748,1
0.2517718226,0.0378527,1
0.2520792366,0.0385744,1
0.2520869138,0.0385924,1
0.2522404583,0.0389538,1
0.2527318007,0.0401268,1
0.2534846975,0.0419736,1
0.2534897893,0.0419861,1
0.2535255715,0.0420751,1
0.2538118294,0.0427873,1
0.254117957,0.0435465,1
0.2541269136,0.0435687,1
0.254280455,0.0439503,1
0.2547717873,0.0451879,1
0.2555246875,0.0471331,1
0.2555297894,0.0471463,1
0.2555451249,0.0471864,1
0.2558518359,0.0479894,1
0.2561573172,0.0487866,1
0.2561669134,0.0488116,1
0.2563204517,0.049213,1
0.2568117742,0.0505139,1
0.2574668709,0.0522903,1
0.2575697895,0.0525694,1
0.2575749014,0.0525834,1
0.2578918424,0.0534535,1
0.2581969974,0.0542886,1
0.2582069132,0.0543157,1
0.2585242194,0.0551882,1
0.2588517614,0.0560995,1
0.2596097896,0.0582501,1
0.2599318487,0.0591744,1
0.2602368374,0.0600469,1
0.260246913,0.0600757,1
0.2605642132,0.0609875,1
0.2608917488,0.0619393,1
0.2616472336,0.0641755,1
0.2616497897,0.064183,1
0.2619718549,0.0651467,1
0.2622767575,0.0660561,1
0.2622869128,0.0660864,1
0.2624404422,0.0665462,1
0.262604207,0.0670367,1
0.2629317365,0.0680281,1
0.2636859556,0.0703513,1
0.2636897898,0.0703631,1
0.264011861,0.0713654,1
0.2643167175,0.072311,1
0.2643269126,0.0723427,1
0.2643985584,0.0725658,1
0.264644201,0.0733307,1
0.2649717244,0.0743609,1
0.2657253166,0.0767711,1
0.2657297898,0.0767854,1
0.266051867,0.0778254,1
0.2663566975,0.0788066,1
0.2663669124,0.0788395,1
0.2663976172,0.0789387,1
0.266684195,0.0798645,1
0.2670117126,0.0809327,1
0.267764997,0.0834289,1
0.2677697899,0.0834448,1
0.2680918728,0.0845218,1
0.2683966875,0.0855379,1
0.2684069122,0.085572,1
0.268417147,0.0856062,1
0.2687241892,0.0866331,1
0.269051701,0.0877386,1
0.2698048373,0.0903195,1
0.26980979,0.0903365,1
0.2701318785,0.0914499,1
0.2704469121,0.0925353,1
0.2707641836,0.0936319,1
0.2710916896,0.0947739,1
0.2718447574,0.0974381,1
0.2718497901,0.0974559,1
0.2720082808,0.0980212,1
0.2721718841,0.0986047,1
0.2724817947,0.0997066,1
0.2724869119,0.0997248,1
